cve_id,vendor,product,repo_key,final_repo_key,github_url,ref_kind,source_tags,verdict,confidence,audit_reason,stored_decision_rule,stored_fitness,checked_url,final_url,http_status,github_title,github_description,recommended_action,recommended_reason,repo_action_canonical_repo_key
CVE-2014-8764,dokuwiki,dokuwiki,splitbrain@dokuwiki,dokuwiki@dokuwiki,https://github.com/splitbrain/dokuwiki/pull/868,pull,,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.678,https://github.com/splitbrain/dokuwiki,https://github.com/dokuwiki/dokuwiki,200,GitHub - dokuwiki/dokuwiki: The DokuWiki Open Source Wiki Engine · GitHub,The DokuWiki Open Source Wiki Engine. Contribute to dokuwiki/dokuwiki development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,dokuwiki@dokuwiki
CVE-2014-9253,dokuwiki,dokuwiki,splitbrain@dokuwiki,dokuwiki@dokuwiki,https://github.com/splitbrain/dokuwiki/commit/778ddf6f2cd9ed38b9db2d73e823b8c21243a960,commit,Issue Tracking;Patch,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.678,https://github.com/splitbrain/dokuwiki,https://github.com/dokuwiki/dokuwiki,200,GitHub - dokuwiki/dokuwiki: The DokuWiki Open Source Wiki Engine · GitHub,The DokuWiki Open Source Wiki Engine. Contribute to dokuwiki/dokuwiki development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,dokuwiki@dokuwiki
CVE-2015-2080,eclipse,jetty,eclipse@jetty.project,jetty@jetty.project,https://github.com/eclipse/jetty.project/blob/jetty-9.2.x/advisories/2015-02-24-httpparser-error-buffer-bleed.md,repo_or_file,Exploit;Vendor Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,score_threshold,0.961,https://github.com/eclipse/jetty.project,https://github.com/jetty/jetty.project,200,"GitHub - jetty/jetty.project: Eclipse Jetty® - Web Container & Clients - supports HTTP/3, HTTP/2, HTTP/1, websocket, servlets, and more · GitHub","Eclipse Jetty® - Web Container & Clients - supports HTTP/3, HTTP/2, HTTP/1, websocket, servlets, and more - jetty/jetty.project",canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,jetty@jetty.project
CVE-2015-2172,dokuwiki,dokuwiki,splitbrain@dokuwiki,dokuwiki@dokuwiki,https://github.com/splitbrain/dokuwiki/commit/4970ad24ce49ec76a0ee67bca7594f918ced2f5f,commit,Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.678,https://github.com/splitbrain/dokuwiki,https://github.com/dokuwiki/dokuwiki,200,GitHub - dokuwiki/dokuwiki: The DokuWiki Open Source Wiki Engine · GitHub,The DokuWiki Open Source Wiki Engine. Contribute to dokuwiki/dokuwiki development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,dokuwiki@dokuwiki
CVE-2015-4020,rubygems,rubygems,rubygems@rubygems,ruby@rubygems,https://github.com/rubygems/rubygems/commit/5c7bfb5,commit,,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,score_threshold,1.0,https://github.com/rubygems/rubygems,https://github.com/ruby/rubygems,200,GitHub - ruby/rubygems: Library packaging and distribution for Ruby. · GitHub,Library packaging and distribution for Ruby. Contribute to ruby/rubygems development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,ruby@rubygems
CVE-2015-5947,salesagility,suitecrm,salesagility@suitecrm,suitecrm@suitecrm,https://github.com/salesagility/SuiteCRM/commit/b1b3fd61c7697ad2073cd253d31c9462929e7bb5,commit,Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,score_threshold,1.0,https://github.com/salesagility/suitecrm,https://github.com/SuiteCRM/SuiteCRM,200,GitHub - SuiteCRM/SuiteCRM: SuiteCRM - Open source CRM for the world · GitHub,SuiteCRM - Open source CRM for the world. Contribute to SuiteCRM/SuiteCRM development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,suitecrm@suitecrm
CVE-2015-5948,salesagility,suitecrm,salesagility@suitecrm,suitecrm@suitecrm,https://github.com/salesagility/SuiteCRM/commit/b1b3fd61c7697ad2073cd253d31c9462929e7bb5,commit,Issue Tracking;Patch;Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,score_threshold,1.0,https://github.com/salesagility/suitecrm,https://github.com/SuiteCRM/SuiteCRM,200,GitHub - SuiteCRM/SuiteCRM: SuiteCRM - Open source CRM for the world · GitHub,SuiteCRM - Open source CRM for the world. Contribute to SuiteCRM/SuiteCRM development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,suitecrm@suitecrm
CVE-2015-7225,tinfoilsecurity,devise-two-factor,tinfoil@devise-two-factor,devise-two-factor@devise-two-factor,https://github.com/tinfoil/devise-two-factor/blob/master/UPGRADING.md,repo_or_file,Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.8264924236162251,https://github.com/tinfoil/devise-two-factor,https://github.com/devise-two-factor/devise-two-factor,200,GitHub - devise-two-factor/devise-two-factor: Barebones two-factor authentication with Devise · GitHub,Barebones two-factor authentication with Devise. Contribute to devise-two-factor/devise-two-factor development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,devise-two-factor@devise-two-factor
CVE-2015-8863,jq_project,jq,stedolan@jq,jqlang@jq,https://github.com/stedolan/jq/commit/8eb1367ca44e772963e704a700ef72ae2e12babd,commit,Patch,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.65,https://github.com/stedolan/jq,https://github.com/jqlang/jq,200,GitHub - jqlang/jq: Command-line JSON processor · GitHub,Command-line JSON processor. Contribute to jqlang/jq development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,jqlang@jq
CVE-2015-9258,docker,notary,theupdateframework@notary,notaryproject@notary,https://github.com/theupdateframework/notary/blob/master/docs/resources/ncc_docker_notary_audit_2015_07_31.pdf,repo_or_file,Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.6966666666666667,https://github.com/theupdateframework/notary,https://github.com/notaryproject/notary,200,GitHub - notaryproject/notary: Notary is a project that allows anyone to have trust over arbitrary collections of data · GitHub,Notary is a project that allows anyone to have trust over arbitrary collections of data - notaryproject/notary,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,notaryproject@notary
CVE-2015-9259,docker,notary,theupdateframework@notary,notaryproject@notary,https://github.com/theupdateframework/notary/blob/master/docs/resources/ncc_docker_notary_audit_2015_07_31.pdf,repo_or_file,Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.6966666666666667,https://github.com/theupdateframework/notary,https://github.com/notaryproject/notary,200,GitHub - notaryproject/notary: Notary is a project that allows anyone to have trust over arbitrary collections of data · GitHub,Notary is a project that allows anyone to have trust over arbitrary collections of data - notaryproject/notary,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,notaryproject@notary
CVE-2016-10522,rails_admin_project,rails_admin,sferik@rails_admin,railsadminteam@rails_admin,https://github.com/sferik/rails_admin/commit/b13e879eb93b661204e9fb5e55f7afa4f397537a,commit,Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.6889117647058823,https://github.com/sferik/rails_admin,https://github.com/railsadminteam/rails_admin,200,GitHub - railsadminteam/rails_admin: RailsAdmin is a Rails engine that provides an easy-to-use interface for managing your data · GitHub,RailsAdmin is a Rails engine that provides an easy-to-use interface for managing your data - railsadminteam/rails_admin,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,railsadminteam@rails_admin
CVE-2016-11086,oauth-ruby_project,oauth-ruby,oauth-xx@oauth-ruby,ruby-oauth@oauth,https://github.com/oauth-xx/oauth-ruby/issues/137,issue,Exploit;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.8354700743988294,https://github.com/oauth-xx/oauth-ruby,https://github.com/ruby-oauth/oauth,200,"GitHub - ruby-oauth/oauth: 🔑 A Ruby wrapper for OAuth 1.0, and 1.0a protocols; clients & servers · GitHub","🔑 A Ruby wrapper for OAuth 1.0, and 1.0a protocols; clients & servers - ruby-oauth/oauth",canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,ruby-oauth@oauth
CVE-2016-4074,jq_project,jq,stedolan@jq,jqlang@jq,https://github.com/stedolan/jq/,repo_or_file,Product;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.65,https://github.com/stedolan/jq,https://github.com/jqlang/jq,200,GitHub - jqlang/jq: Command-line JSON processor · GitHub,Command-line JSON processor. Contribute to jqlang/jq development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,jqlang@jq
CVE-2016-5026,onionshare,onionshare,micahflee@onionshare,onionshare@onionshare,https://github.com/micahflee/onionshare,repo_or_file,Issue Tracking;Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.706,https://github.com/micahflee/onionshare,https://github.com/onionshare/onionshare,200,"GitHub - onionshare/onionshare: Securely and anonymously share files, host websites, and chat with friends using the Tor network · GitHub","Securely and anonymously share files, host websites, and chat with friends using the Tor network - onionshare/onionshare",canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,onionshare@onionshare
CVE-2016-7063,pritunl,pritunl-client,pritunl@pritunl-client-electron,pritunl@pritunl-client,https://github.com/pritunl/pritunl-client-electron/releases/tag/1.0.1116.6,release_tag,Release Notes;Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,score_threshold,0.974,https://github.com/pritunl/pritunl-client-electron,https://github.com/pritunl/pritunl-client,200,GitHub - pritunl/pritunl-client: Pritunl OpenVPN client · GitHub,Pritunl OpenVPN client. Contribute to pritunl/pritunl-client development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,pritunl@pritunl-client
CVE-2016-7064,pritunl,pritunl-client,pritunl@pritunl-client-electron,pritunl@pritunl-client,https://github.com/pritunl/pritunl-client-electron/releases/tag/1.0.1116.6,release_tag,Release Notes;Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,score_threshold,0.974,https://github.com/pritunl/pritunl-client-electron,https://github.com/pritunl/pritunl-client,200,GitHub - pritunl/pritunl-client: Pritunl OpenVPN client · GitHub,Pritunl OpenVPN client. Contribute to pritunl/pritunl-client development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,pritunl@pritunl-client
CVE-2016-7964,dokuwiki,dokuwiki,splitbrain@dokuwiki,dokuwiki@dokuwiki,https://github.com/splitbrain/dokuwiki/issues/1708,issue,Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.678,https://github.com/splitbrain/dokuwiki,https://github.com/dokuwiki/dokuwiki,200,GitHub - dokuwiki/dokuwiki: The DokuWiki Open Source Wiki Engine · GitHub,The DokuWiki Open Source Wiki Engine. Contribute to dokuwiki/dokuwiki development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,dokuwiki@dokuwiki
CVE-2016-7965,dokuwiki,dokuwiki,splitbrain@dokuwiki,dokuwiki@dokuwiki,https://github.com/splitbrain/dokuwiki/issues/1709,issue,Exploit;Vendor Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.678,https://github.com/splitbrain/dokuwiki,https://github.com/dokuwiki/dokuwiki,200,GitHub - dokuwiki/dokuwiki: The DokuWiki Open Source Wiki Engine · GitHub,The DokuWiki Open Source Wiki Engine. Contribute to dokuwiki/dokuwiki development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,dokuwiki@dokuwiki
CVE-2016-9427,bdwgc_project,bdwgc,ivmai@bdwgc,bdwgc@bdwgc,https://github.com/ivmai/bdwgc/issues/135,issue,Issue Tracking;Patch,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.65,https://github.com/ivmai/bdwgc,https://github.com/bdwgc/bdwgc,200,"GitHub - bdwgc/bdwgc: The Boehm-Demers-Weiser conservative C/C++ Garbage Collector (bdwgc, also known as bdw-gc, boehm-gc, libgc) · GitHub","The Boehm-Demers-Weiser conservative C/C++ Garbage Collector (bdwgc, also known as bdw-gc, boehm-gc, libgc) - bdwgc/bdwgc",canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,bdwgc@bdwgc
CVE-2017-0899,rubygems,rubygems,rubygems@rubygems,ruby@rubygems,https://github.com/rubygems/rubygems/commit/1bcbc7fe637b03145401ec9c094066285934a7f1,commit,Patch;Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,score_threshold,1.0,https://github.com/rubygems/rubygems,https://github.com/ruby/rubygems,200,GitHub - ruby/rubygems: Library packaging and distribution for Ruby. · GitHub,Library packaging and distribution for Ruby. Contribute to ruby/rubygems development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,ruby@rubygems
CVE-2017-0900,rubygems,rubygems,rubygems@rubygems,ruby@rubygems,https://github.com/rubygems/rubygems/commit/8a38a4fc24c6591e6c8f43d1fadab6efeb4d6251,commit,Patch;Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,score_threshold,1.0,https://github.com/rubygems/rubygems,https://github.com/ruby/rubygems,200,GitHub - ruby/rubygems: Library packaging and distribution for Ruby. · GitHub,Library packaging and distribution for Ruby. Contribute to ruby/rubygems development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,ruby@rubygems
CVE-2017-0901,rubygems,rubygems,rubygems@rubygems,ruby@rubygems,https://github.com/rubygems/rubygems/commit/ad5c0a53a86ca5b218c7976765c0365b91d22cb2,commit,Patch;Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,score_threshold,1.0,https://github.com/rubygems/rubygems,https://github.com/ruby/rubygems,200,GitHub - ruby/rubygems: Library packaging and distribution for Ruby. · GitHub,Library packaging and distribution for Ruby. Contribute to ruby/rubygems development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,ruby@rubygems
CVE-2017-0902,rubygems,rubygems,rubygems@rubygems,ruby@rubygems,https://github.com/rubygems/rubygems/commit/8d91516fb7037ecfb27622f605dc40245e0f8d32,commit,Exploit;Patch;Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,score_threshold,1.0,https://github.com/rubygems/rubygems,https://github.com/ruby/rubygems,200,GitHub - ruby/rubygems: Library packaging and distribution for Ruby. · GitHub,Library packaging and distribution for Ruby. Contribute to ruby/rubygems development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,ruby@rubygems
CVE-2017-0903,rubygems,rubygems,rubygems@rubygems,ruby@rubygems,https://github.com/rubygems/rubygems/commit/510b1638ac9bba3ceb7a5d73135dafff9e5bab49,commit,Patch;Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,score_threshold,1.0,https://github.com/rubygems/rubygems,https://github.com/ruby/rubygems,200,GitHub - ruby/rubygems: Library packaging and distribution for Ruby. · GitHub,Library packaging and distribution for Ruby. Contribute to ruby/rubygems development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,ruby@rubygems
CVE-2017-1000051,xwiki,cryptpad,xwiki-labs@cryptpad,cryptpad@cryptpad,https://github.com/xwiki-labs/cryptpad/releases/tag/1.1.1,release_tag,Release Notes;Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,score_threshold,0.986,https://github.com/xwiki-labs/cryptpad,https://github.com/cryptpad/cryptpad,200,"GitHub - cryptpad/cryptpad: Collaborative office suite, end-to-end encrypted and open-source. · GitHub","Collaborative office suite, end-to-end encrypted and open-source. - cryptpad/cryptpad",canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,cryptpad@cryptpad
CVE-2017-1000473,linux-dash_project,linux-dash,afaqurk@linux-dash,tariqbuilds@linux-dash,https://github.com/afaqurk/linux-dash/issues/447,issue,Exploit;Issue Tracking;Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.6655,https://github.com/afaqurk/linux-dash,https://github.com/tariqbuilds/linux-dash,200,GitHub - tariqbuilds/linux-dash: A beautiful web dashboard for Linux · GitHub,A beautiful web dashboard for Linux. Contribute to tariqbuilds/linux-dash development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,tariqbuilds@linux-dash
CVE-2017-10976,swftools,swftools,matthiaskramm@swftools,swftools@swftools,https://github.com/matthiaskramm/swftools/issues/28,issue,Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.6930769230769231,https://github.com/matthiaskramm/swftools,https://github.com/swftools/swftools,200,GitHub - swftools/swftools: Utilities for editing and generating Adobe Flash (SWF) files. · GitHub,Utilities for editing and generating Adobe Flash (SWF) files. - swftools/swftools,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,swftools@swftools
CVE-2017-11096,swftools,swftools,matthiaskramm@swftools,swftools@swftools,https://github.com/matthiaskramm/swftools/issues/25,issue,Exploit;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.6930769230769231,https://github.com/matthiaskramm/swftools,https://github.com/swftools/swftools,200,GitHub - swftools/swftools: Utilities for editing and generating Adobe Flash (SWF) files. · GitHub,Utilities for editing and generating Adobe Flash (SWF) files. - swftools/swftools,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,swftools@swftools
CVE-2017-11097,swftools,swftools,matthiaskramm@swftools,swftools@swftools,https://github.com/matthiaskramm/swftools/issues/24,issue,Exploit;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.6930769230769231,https://github.com/matthiaskramm/swftools,https://github.com/swftools/swftools,200,GitHub - swftools/swftools: Utilities for editing and generating Adobe Flash (SWF) files. · GitHub,Utilities for editing and generating Adobe Flash (SWF) files. - swftools/swftools,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,swftools@swftools
CVE-2017-11098,swftools,swftools,matthiaskramm@swftools,swftools@swftools,https://github.com/matthiaskramm/swftools/issues/32,issue,Exploit;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.6930769230769231,https://github.com/matthiaskramm/swftools,https://github.com/swftools/swftools,200,GitHub - swftools/swftools: Utilities for editing and generating Adobe Flash (SWF) files. · GitHub,Utilities for editing and generating Adobe Flash (SWF) files. - swftools/swftools,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,swftools@swftools
CVE-2017-11099,swftools,swftools,matthiaskramm@swftools,swftools@swftools,https://github.com/matthiaskramm/swftools/issues/31,issue,Exploit;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.6930769230769231,https://github.com/matthiaskramm/swftools,https://github.com/swftools/swftools,200,GitHub - swftools/swftools: Utilities for editing and generating Adobe Flash (SWF) files. · GitHub,Utilities for editing and generating Adobe Flash (SWF) files. - swftools/swftools,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,swftools@swftools
